GAME_ID,GAME_DATE,HOME,AWAY,Height-1,Weight-1,Age-1,Mpg-1,Ppg-1,Fg-1,Fg3-1,Ft-1,Rpg-1,Apg-1,Spg-1,Bp-1,Tpg-1,Fpg-1,Height-2,Weight-2,Age-2,Mpg-2,Ppg-2,Fg-2,Fg3-2,Ft-2,Rpg-2,Apg-2,Spg-2,Bp-2,Tpg-2,Fpg-2,Height-3,Weight-3,Age-3,Mpg-3,Ppg-3,Fg-3,Fg3-3,Ft-3,Rpg-3,Apg-3,Spg-3,Bp-3,Tpg-3,Fpg-3,Height-4,Weight-4,Age-4,Mpg-4,Ppg-4,Fg-4,Fg3-4,Ft-4,Rpg-4,Apg-4,Spg-4,Bp-4,Tpg-4,Fpg-4,Height-5,Weight-5,Age-5,Mpg-5,Ppg-5,Fg-5,Fg3-5,Ft-5,Rpg-5,Apg-5,Spg-5,Bp-5,Tpg-5,Fpg-5,Height-6,Weight-6,Age-6,Mpg-6,Ppg-6,Fg-6,Fg3-6,Ft-6,Rpg-6,Apg-6,Spg-6,Bp-6,Tpg-6,Fpg-6,Height-7,Weight-7,Age-7,Mpg-7,Ppg-7,Fg-7,Fg3-7,Ft-7,Rpg-7,Apg-7,Spg-7,Bp-7,Tpg-7,Fpg-7,Height-8,Weight-8,Age-8,Mpg-8,Ppg-8,Fg-8,Fg3-8,Ft-8,Rpg-8,Apg-8,Spg-8,Bp-8,Tpg-8,Fpg-8,Height-9,Weight-9,Age-9,Mpg-9,Ppg-9,Fg-9,Fg3-9,Ft-9,Rpg-9,Apg-9,Spg-9,Bp-9,Tpg-9,Fpg-9,Height-10,Weight-10,Age-10,Mpg-10,Ppg-10,Fg-10,Fg3-10,Ft-10,Rpg-10,Apg-10,Spg-10,Bp-10,Tpg-10,Fpg-10,WL
20001020,2001-03-27,ATL,BOS,-0.12,-0.13,-0.33,0.14,0.32,0.06,0.04,0,-0.02,0.28,0.04,-0.02,0.42,0.05,0.1,0.13,-0.05,0,-0.02,0.06,0.06,-0.1,0,-0.13,-0.12,0,-0.07,-0.05,0.12,0.2,-0.52,-0.16,0.06,0,0.31,0.16,0.03,-0.18,-0.08,0,-0.02,-0.2,0.07,0.16,-0.05,0.18,0.18,0,0.04,0.3,0.13,-0.05,0.2,0.05,0.19,0.17,0.14,0.06,0.1,0.15,0.12,-0.07,-0.52,0.05,0.1,-0.1,-0.04,0.05,0.07,0.29,0.07,-0.14,-0.1,-0.51,-0.65,-0.14,-0.13,-0.01,-0.25,-0.24,-0.44,-0.11,-0.49,-0.35,0.22,0.22,0.33,0.32,0.11,0.23,-0.6,0.01,0.67,-0.04,-0.16,0.68,0.24,0.12,0.04,-0.15,-0.05,0.12,0.16,-0.05,0,-0.02,0.09,0.04,0,0.16,0.12,0.12,-0.07,0,0.14,0.09,0.13,-0.17,0,0,-0.02,0.03,0,-0.3,0.19,-0.24,-0.1,-0.07,0.05,0.05,0.09,-0.1,0.47,0.18,-0.08,0.03,-0.08,-0.24,0.08,-0.1,0
20000444,2001-01-02,ATL,BOS,-0.12,-0.13,-0.33,0.14,0.32,0.06,0.04,0,-0.02,0.28,0.04,-0.02,0.42,0.05,0.1,0.13,-0.05,0,-0.02,0.06,0.06,-0.1,0,-0.13,-0.12,0,-0.07,-0.05,0.12,0.2,-0.52,-0.16,0.06,0,0.31,0.16,0.03,-0.18,-0.08,0,-0.02,-0.2,0.07,0.16,-0.05,0.18,0.18,0,0.04,0.3,0.13,-0.05,0.2,0.05,0.19,0.17,0.14,0.06,0.1,0.15,0.12,-0.07,-0.52,0.05,0.1,-0.1,-0.04,0.05,0.07,0.29,0.07,-0.14,-0.1,-0.51,-0.65,-0.14,-0.13,-0.01,-0.25,-0.24,-0.44,-0.11,-0.49,-0.35,0.22,0.22,0.33,0.32,0.11,0.23,-0.6,0.01,0.67,-0.04,-0.16,0.68,0.24,0.12,0.04,-0.15,-0.05,0.12,0.16,-0.05,0,-0.02,0.09,0.04,0,0.16,0.12,0.12,-0.07,0,0.14,0.09,0.13,-0.17,0,0,-0.02,0.03,0,-0.3,0.19,-0.24,-0.1,-0.07,0.05,0.05,0.09,-0.1,0.47,0.18,-0.08,0.03,-0.08,-0.24,0.08,-0.1,1
20000840,2001-03-02,ATL,CHH,-0.07,-0.14,0.05,-0.02,0.19,0.02,0.18,0.25,-0.11,-0.24,-0.32,-0.08,0.03,-0.19,0.07,-0.06,-0.05,-0.3,-0.33,0,-0.03,-0.05,-0.04,-0.16,-0.24,-0.02,-0.19,-0.25,0.04,0.14,-0.57,0.11,0.09,0.02,-0.37,-0.26,0.05,0,0.12,0,0.15,0.19,-0.07,-0.14,0.1,-0.23,-0.28,-0.07,-0.07,0.09,-0.22,-0.25,-0.08,0,-0.12,0.02,-0.04,0.06,0,0.2,0.07,-0.17,-0.88,0.23,0.03,0.08,0,-0.09,0.26,0.39,-0.07,-0.15,-0.48,-0.44,-0.11,-0.12,0.58,-0.17,-0.43,-0.08,-0.16,-0.21,-0.05,-0.39,0.07,-0.1,0.14,0.11,-0.1,0.08,0,0.02,0.35,-0.03,-0.16,0.24,0.02,-0.22,0.04,0.14,-0.43,0.19,0.14,0.12,-0.73,0.05,0.13,0.01,0.12,0.08,0.15,0.41,-0.07,-0.13,0.24,0.24,0.19,-0.02,0,-0.03,0.09,0.03,0.2,-0.19,0.21,0.08,-0.03,-0.06,-0.57,0.15,0.13,0,0.47,-0.02,-0.04,0.02,0.08,0.05,0.15,0.07,0
20000004,2000-10-31,ATL,CHH,-0.07,-0.14,0.05,-0.02,0.19,0.02,0.18,0.25,-0.11,-0.24,-0.32,-0.08,0.03,-0.19,0.07,-0.06,-0.05,-0.3,-0.33,0,-0.03,-0.05,-0.04,-0.16,-0.24,-0.02,-0.19,-0.25,0.04,0.14,-0.57,0.11,0.09,0.02,-0.37,-0.26,0.05,0,0.12,0,0.15,0.19,-0.07,-0.14,0.1,-0.23,-0.28,-0.07,-0.07,0.09,-0.22,-0.25,-0.08,0,-0.12,0.02,-0.04,0.06,0,0.2,0.07,-0.17,-0.88,0.23,0.03,0.08,0,-0.09,0.26,0.39,-0.07,-0.15,-0.48,-0.44,-0.11,-0.12,0.58,-0.17,-0.43,-0.08,-0.16,-0.21,-0.05,-0.39,0.07,-0.1,0.14,0.11,-0.1,0.08,0,0.02,0.35,-0.03,-0.16,0.24,0.02,-0.22,0.04,0.14,-0.43,0.19,0.14,0.12,-0.73,0.05,0.13,0.01,0.12,0.08,0.15,0.41,-0.07,-0.13,0.24,0.24,0.19,-0.02,0,-0.03,0.09,0.03,0.2,-0.19,0.21,0.08,-0.03,-0.06,-0.57,0.15,0.13,0,0.47,-0.02,-0.04,0.02,0.08,0.05,0.15,0.07,0
20000903,2001-03-10,ATL,CHI,-0.12,-0.13,-0.24,0.19,0.34,0,-0.04,-0.03,-0.06,0.13,0,-0.02,0.47,0.1,0.03,0.05,0.14,-0.04,0.02,0.07,-0.04,0.04,0.04,-0.11,0.12,0,-0.02,-0.1,0.12,0.22,-0.05,-0.07,0,0.03,-0.42,-0.22,0.07,-0.07,0.24,0,0.05,0.12,0.29,0.1,0.38,0.28,0.17,0.01,-0.02,0.07,0.15,0,-0.04,0.05,0.29,0.12,0.03,0.06,0,-0.38,-0.32,-0.02,-0.46,0.09,-0.03,-0.17,-0.24,-0.06,-0.1,0.04,0.07,-0.26,0,-0.34,-0.22,-0.05,0.07,-0.02,-0.1,-0.23,-0.56,-0.05,-0.22,-0.39,0.17,0.03,0.62,-0.11,-0.33,0.02,0,0.02,0.21,-0.23,-0.24,0.3,-0.27,-0.14,-0.03,-0.02,0,0.07,0.11,0.02,-0.32,-0.04,0.01,-0.07,0,0.05,0.12,0.04,0,-0.1,0.29,0.07,0.03,0.02,-0.44,-0.14,0.08,-0.04,0.12,0.03,0,-0.05,0.04,-0.06,0.1,0,0.14,0.02,0.47,0.46,-0.22,-0.01,-0.12,-0.14,0.08,-0.1,1
20000217,2000-11-30,ATL,CHI,-0.12,-0.13,-0.24,0.19,0.34,0,-0.04,-0.03,-0.06,0.13,0,-0.02,0.47,0.1,0.03,0.05,0.14,-0.04,0.02,0.07,-0.04,0.04,0.04,-0.11,0.12,0,-0.02,-0.1,0.12,0.22,-0.05,-0.07,0,0.03,-0.42,-0.22,0.07,-0.07,0.24,0,0.05,0.12,0.29,0.1,0.38,0.28,0.17,0.01,-0.02,0.07,0.15,0,-0.04,0.05,0.29,0.12,0.03,0.06,0,-0.38,-0.32,-0.02,-0.46,0.09,-0.03,-0.17,-0.24,-0.06,-0.1,0.04,0.07,-0.26,0,-0.34,-0.22,-0.05,0.07,-0.02,-0.1,-0.23,-0.56,-0.05,-0.22,-0.39,0.17,0.03,0.62,-0.11,-0.33,0.02,0,0.02,0.21,-0.23,-0.24,0.3,-0.27,-0.14,-0.03,-0.02,0,0.07,0.11,0.02,-0.32,-0.04,0.01,-0.07,0,0.05,0.12,0.04,0,-0.1,0.29,0.07,0.03,0.02,-0.44,-0.14,0.08,-0.04,0.12,0.03,0,-0.05,0.04,-0.06,0.1,0,0.14,0.02,0.47,0.46,-0.22,-0.01,-0.12,-0.14,0.08,-0.1,0
20001127,2001-04-11,ATL,CLE,-0.07,-0.08,-0.1,0.08,0.12,-0.03,0.27,0.02,-0.07,-0.32,-0.08,-0.05,-0.07,-0.07,0.17,0.14,0.19,-0.05,0.02,0.08,0.56,-0.08,-0.07,-0.31,-0.36,0,-0.09,-0.3,-0.03,0.14,-0.38,-0.14,-0.04,-0.03,-0.45,-0.17,-0.04,-0.03,0.12,-0.03,0,0.05,0.07,0.21,-0.14,0.28,0.18,0.02,-0.12,-0.08,0.09,0.19,0.04,0.02,0.39,0.27,0.03,-0.05,0,-0.07,-0.05,-0.03,-0.34,0.11,-0.05,-0.01,-0.04,-0.03,0.02,-0.08,0.07,-0.14,-0.33,-0.28,-0.25,-0.09,-0.1,0,-0.13,-0.08,-0.2,0.03,-0.15,-0.13,0.25,-0.05,0.24,0.02,-0.04,-0.03,0,-0.1,0.23,-0.03,-0.24,0.38,0.12,0.15,-0.14,-0.02,-0.05,0.06,0.02,-0.07,0,0.06,0.05,0.04,0,-0.17,-0.17,0,-0.03,0.11,-0.24,0.05,-0.03,-0.01,-0.54,-0.07,0.01,-0.01,0,0,0.02,-0.07,-0.1,-0.15,0.24,-0.01,-0.02,0.02,0.47,0.03,-0.15,0.05,0.04,-0.16,-0.02,-0.02,1
20000424,2000-12-29,ATL,CLE,-0.07,-0.08,-0.1,0.08,0.12,-0.03,0.27,0.02,-0.07,-0.32,-0.08,-0.05,-0.07,-0.07,0.17,0.14,0.19,-0.05,0.02,0.08,0.56,-0.08,-0.07,-0.31,-0.36,0,-0.09,-0.3,-0.03,0.14,-0.38,-0.14,-0.04,-0.03,-0.45,-0.17,-0.04,-0.03,0.12,-0.03,0,0.05,0.07,0.21,-0.14,0.28,0.18,0.02,-0.12,-0.08,0.09,0.19,0.04,0.02,0.39,0.27,0.03,-0.05,0,-0.07,-0.05,-0.03,-0.34,0.11,-0.05,-0.01,-0.04,-0.03,0.02,-0.08,0.07,-0.14,-0.33,-0.28,-0.25,-0.09,-0.1,0,-0.13,-0.08,-0.2,0.03,-0.15,-0.13,0.25,-0.05,0.24,0.02,-0.04,-0.03,0,-0.1,0.23,-0.03,-0.24,0.38,0.12,0.15,-0.14,-0.02,-0.05,0.06,0.02,-0.07,0,0.06,0.05,0.04,0,-0.17,-0.17,0,-0.03,0.11,-0.24,0.05,-0.03,-0.01,-0.54,-0.07,0.01,-0.01,0,0,0.02,-0.07,-0.1,-0.15,0.24,-0.01,-0.02,0.02,0.47,0.03,-0.15,0.05,0.04,-0.16,-0.02,-0.02,0
20000684,2001-02-05,ATL,DAL,-0.07,0.03,-0.19,0.09,0.13,-0.09,-0.03,-0.08,0,-0.24,0.12,0,0,0.05,0.03,0.03,0.05,-0.1,-0.07,0.05,-0.08,-0.09,-0.02,-0.08,-0.08,0,0.03,-0.25,0,0.23,-0.43,-0.23,-0.06,-0.06,-0.55,-0.28,0.01,-0.05,0.16,0.05,-0.07,-0.05,0.07,0.06,0.29,0.19,0.17,-0.11,0.08,0.14,-0.01,0.17,0,0,0.39,-0.17,0,-0.15,-0.05,0.4,0.18,0,0.08,0.53,0.04,0.14,0.12,0,0.24,0.24,-0.1,-0.18,-0.1,-0.51,-0.54,-0.18,-0.14,-0.15,-0.42,-0.13,-0.16,-0.21,-0.17,-0.32,-0.16,-0.08,0.29,0.25,0.09,-0.01,-0.24,-0.09,0.38,0.05,0,-0.03,0.19,-0.1,0,0.06,-0.29,0.16,0.1,-0.1,-0.55,-0.17,0.17,-0.04,-0.12,0.08,0,0.04,0.04,0.02,0.19,0.34,0.23,-0.15,-0.6,0.31,0.19,0,0.16,0.06,0.31,0.25,0,-0.02,-0.33,0.21,0.11,-0.04,0.47,0.03,-0.07,0.03,0,0.05,0.2,0.24,0
20001049,2001-03-31,ATL,DEN,0.04,-0.02,-0.29,0,0.06,0.04,0.03,0.04,-0.01,-0.37,0.16,-0.05,0.15,0.24,-0.04,-0.13,0.05,-0.09,-0.17,0.04,-0.05,-0.05,-0.05,0.05,0.08,-0.02,0,-0.1,0.12,0.25,-0.48,-0.02,-0.02,-0.01,-0.41,-0.12,0.02,-0.29,0,0.05,-0.22,0.02,0,-0.08,0.19,0.38,0.25,-0.02,-0.16,0.36,0.13,0.22,0.16,-0.06,0.27,0.15,0,0.02,0.05,-0.04,0.05,0.04,-0.45,0.1,-0.12,-0.03,-0.16,-0.09,0.12,-0.05,0.04,-0.1,-0.62,-0.23,-0.15,-0.01,-0.01,-0.15,-0.04,-0.3,-0.04,0,-0.08,-0.13,0.25,0.26,0.29,0.43,0.25,0.28,0,0.33,0.7,0,0,0.68,0.31,0.27,0.07,0.06,-0.05,-0.21,-0.27,-0.09,0,0.02,-0.28,-0.09,0,-0.17,-0.12,0.04,-0.07,0,0.14,-0.16,-0.07,-0.06,-0.67,-0.09,-0.14,-0.07,0.08,-0.59,0.12,-0.36,-0.07,0.08,0,-0.04,-0.03,-0.05,0.47,0.33,-0.19,-0.01,0,-0.43,0.05,-0.12,1
20001149,2001-04-14,ATL,DET,0.12,0,-0.14,0.21,0.24,0.07,0.08,0.23,0.07,0.08,0.2,0,0.27,0.05,-0.09,-0.09,-0.14,0.09,0.05,-0.06,-0.18,-0.13,0.02,0.1,0.24,0.03,0.1,-0.2,0.23,0.32,-0.57,-0.04,-0.07,-0.04,-0.48,-0.25,0.04,-0.06,0.16,0.05,-0.02,0.12,0.14,0.09,0.33,0.34,0.2,-0.04,0.06,0.17,0.15,0.02,0.12,0.05,0.12,0.12,0.07,0.01,-0.05,-0.34,-0.65,0.06,-0.56,0.09,-0.03,-0.35,-0.2,-0.14,-0.59,0.14,0,-0.08,-0.52,-0.02,0.02,-0.01,0.37,0.39,-0.14,-0.04,-0.04,0.03,0.07,-0.1,0.17,0.1,0.43,0,0.11,-0.01,-0.42,0.57,0.02,-0.05,-0.36,0.11,0.09,0.07,0.04,0.16,0,0,0,0.08,0,-0.13,0.02,0.01,-0.04,0.05,0.12,-0.1,0,0.18,0,0.12,0.14,-0.04,0,-0.16,-0.06,-0.01,-0.12,0.03,0.14,0.03,-0.1,0.06,0.05,0.13,0.08,-0.07,0.47,0.13,-0.1,0.04,0.04,-0.14,0.1,0,0
20000954,2001-03-17,ATL,DET,0.12,0,-0.14,0.21,0.24,0.07,0.08,0.23,0.07,0.08,0.2,0,0.27,0.05,-0.09,-0.09,-0.14,0.09,0.05,-0.06,-0.18,-0.13,0.02,0.1,0.24,0.03,0.1,-0.2,0.23,0.32,-0.57,-0.04,-0.07,-0.04,-0.48,-0.25,0.04,-0.06,0.16,0.05,-0.02,0.12,0.14,0.09,0.33,0.34,0.2,-0.04,0.06,0.17,0.15,0.02,0.12,0.05,0.12,0.12,0.07,0.01,-0.05,-0.34,-0.65,0.06,-0.56,0.09,-0.03,-0.35,-0.2,-0.14,-0.59,0.14,0,-0.08,-0.52,-0.02,0.02,-0.01,0.37,0.39,-0.14,-0.04,-0.04,0.03,0.07,-0.1,0.17,0.1,0.43,0,0.11,-0.01,-0.42,0.57,0.02,-0.05,-0.36,0.11,0.09,0.07,0.04,0.16,0,0,0,0.08,0,-0.13,0.02,0.01,-0.04,0.05,0.12,-0.1,0,0.18,0,0.12,0.14,-0.04,0,-0.16,-0.06,-0.01,-0.12,0.03,0.14,0.03,-0.1,0.06,0.05,0.13,0.08,-0.07,0.47,0.13,-0.1,0.04,0.04,-0.14,0.1,0,0
20000510,2001-01-11,ATL,GSW,-0.12,0.01,0.05,0.02,0.1,0.1,0.44,0.12,-0.14,0.04,-0.24,-0.13,-0.02,-0.1,0.1,0.07,-0.24,-0.21,-0.13,0.04,0.08,0.1,-0.11,-0.39,-0.56,-0.05,-0.14,-0.05,0,0.14,-0.29,-0.38,-0.17,0.05,-0.16,-0.05,-0.12,-0.35,-0.04,0,-0.51,-0.2,0.12,0.2,0.24,0.18,0.14,0.06,-0.03,0.21,0.12,-0.05,-0.04,0,0.22,0.02,0,-0.01,0,-0.38,-0.49,-0.01,-0.45,0.25,-0.32,-0.03,-0.28,-0.03,-0.18,-0.03,0.07,-0.06,-0.48,-0.39,-0.23,0.01,0.09,-0.18,-0.24,-0.04,0,0.03,-0.03,-0.3,0.22,0,0.48,0.02,-0.22,-0.17,0,-0.08,-0.17,0.02,0.04,0.73,0.05,-0.24,0.04,0.01,-0.05,-0.03,-0.02,-0.04,-0.35,-0.13,0,0,-0.04,0.08,-0.02,0.09,-0.03,-0.15,0.1,-0.01,0.15,0.05,0,0.29,-0.09,-0.01,0.08,-0.62,0.07,-0.02,-0.07,-0.15,0.05,-0.12,-0.02,0.09,0.47,0.42,-0.22,-0.06,0,-0.27,-0.14,-0.1,1
20000879,2001-03-07,ATL,HOU,-0.07,-0.13,-0.05,-0.05,-0.01,-0.03,-0.01,0.04,-0.22,-0.16,-0.2,-0.08,-0.09,-0.22,-0.04,-0.13,0.19,-0.3,-0.41,-0.03,0.01,-0.1,-0.18,0.03,-0.04,-0.05,-0.19,-0.1,0.16,0.22,-0.24,-0.1,-0.02,-0.05,-0.18,-0.14,-0.01,-0.24,0.04,0.05,-0.1,0.15,0,0.02,0.14,0.02,0.09,-0.13,0.11,0.13,0,0.07,-0.04,-0.09,0.17,0,0.14,0.14,-0.29,0.1,0.04,0.08,-0.65,0.17,0,0.04,0.12,-0.06,0.17,0.12,0,-0.25,-0.14,-0.28,-0.26,-0.21,0.58,0,-0.2,-0.07,0.08,-0.05,-0.15,-0.32,0.07,0.02,-0.14,0.2,-0.06,-0.02,0,0.15,0.38,-0.02,-0.32,0.32,0.12,0.07,0.14,-0.02,0.1,0.08,0.17,0.01,-0.47,-0.01,0.12,0.02,0.04,0.08,0.05,0.21,-0.07,-0.18,0.1,0.17,0.19,-0.25,0,-0.02,0.09,0.04,0.12,-0.13,0.24,-0.07,-0.03,0.03,-0.38,0.07,0.03,0.05,-0.28,0.15,0.01,0.01,0.08,0.05,0.27,0.32,0
20001032,2001-03-29,ATL,IND,-0.19,-0.05,-0.57,-0.03,0.02,-0.01,0.06,-0.12,-0.01,0.17,0.12,-0.02,0.32,0.12,0.14,0.05,0.05,-0.15,-0.16,-0.04,-0.04,-0.09,-0.05,-0.33,-0.16,0,-0.07,-0.37,-0.1,0.06,-0.29,-0.6,-0.47,-0.07,-0.3,-0.22,-0.17,-0.49,0,-0.11,-0.49,-0.39,-0.14,-0.1,-0.19,0.37,0.3,-0.12,0.26,0.07,0.08,0.19,0.08,0,0.39,0.1,-0.12,-0.18,0.14,-0.16,-0.1,-0.05,0.08,0.42,-0.39,0.05,0.04,-0.71,-0.08,-0.22,0,-0.18,0,-0.18,-0.08,-0.12,0.39,0.12,-0.16,-0.09,-0.08,0.06,-0.17,-0.3,0.17,0.14,0.43,0.28,0,0.17,-0.61,-0.21,0.54,-0.01,0,0.57,0.05,0.12,0,0.03,0.05,0.29,0.29,-0.04,-0.5,0.3,0.12,0.07,0.04,0.13,0.27,0.29,0,-0.1,-0.57,0.22,0.22,0.11,-0.63,-0.31,0.18,0.01,0.08,0.03,0.34,0.3,-0.1,-0.11,-0.24,0.13,0.09,-0.14,0.47,0.58,-0.1,0.02,0.08,-0.06,0.08,0.05,1
20000387,2000-12-23,ATL,IND,-0.19,-0.05,-0.57,-0.03,0.02,-0.01,0.06,-0.12,-0.01,0.17,0.12,-0.02,0.32,0.12,0.14,0.05,0.05,-0.15,-0.16,-0.04,-0.04,-0.09,-0.05,-0.33,-0.16,0,-0.07,-0.37,-0.1,0.06,-0.29,-0.6,-0.47,-0.07,-0.3,-0.22,-0.17,-0.49,0,-0.11,-0.49,-0.39,-0.14,-0.1,-0.19,0.37,0.3,-0.12,0.26,0.07,0.08,0.19,0.08,0,0.39,0.1,-0.12,-0.18,0.14,-0.16,-0.1,-0.05,0.08,0.42,-0.39,0.05,0.04,-0.71,-0.08,-0.22,0,-0.18,0,-0.18,-0.08,-0.12,0.39,0.12,-0.16,-0.09,-0.08,0.06,-0.17,-0.3,0.17,0.14,0.43,0.28,0,0.17,-0.61,-0.21,0.54,-0.01,0,0.57,0.05,0.12,0,0.03,0.05,0.29,0.29,-0.04,-0.5,0.3,0.12,0.07,0.04,0.13,0.27,0.29,0,-0.1,-0.57,0.22,0.22,0.11,-0.63,-0.31,0.18,0.01,0.08,0.03,0.34,0.3,-0.1,-0.11,-0.24,0.13,0.09,-0.14,0.47,0.58,-0.1,0.02,0.08,-0.06,0.08,0.05,1
20000524,2001-01-13,ATL,LAC,-0.07,-0.02,-0.14,0.07,0.22,-0.05,0.07,0.06,0.03,-0.06,0.16,0,0.37,0,-0.12,-0.28,0.19,0.01,-0.05,0.12,0.19,-0.06,-0.04,0.17,0.08,-0.05,0.08,-0.2,-0.03,0,0.05,-0.04,-0.07,-0.04,-0.29,0.08,-0.07,0.04,0.12,0.02,0.02,0.07,-0.14,-0.05,0.43,-0.18,-0.18,-0.15,0.02,0.22,-0.23,-0.23,-0.04,-0.38,-0.29,-0.15,0.03,0.02,-0.24,-0.01,-0.03,0.01,-0.67,0.02,0.03,0.05,0.04,0,0.19,0.26,0,-0.14,0.1,-0.23,-0.14,-0.24,0.58,0.32,-0.22,-0.04,0,-0.3,-0.15,-0.18,0.29,0.18,0.67,0.36,0,0.04,-0.54,-0.08,0.57,-0.02,-0.04,0.7,0.09,0.17,-0.03,-0.07,-0.05,0.05,0.13,0.02,0,0.25,0.07,0.06,0.08,-0.11,-0.07,0.07,-0.03,-0.1,-0.14,0.14,0.17,0.03,-0.96,-0.17,0.11,-0.02,0.12,-0.11,0.19,-0.05,0,-0.02,-0.33,0.05,0.08,0.12,0.47,0.09,-0.1,0.05,-0.04,0.08,0.12,0.34,1
20000965,2001-03-19,ATL,LAL,-0.14,-0.14,0.05,-0.08,-0.29,-0.05,0.19,-0.01,-0.16,-0.01,-0.16,-0.13,-0.07,-0.19,0.07,-0.09,0.14,-0.24,-0.15,0.01,-0.08,-0.06,-0.05,-0.16,-0.4,0,-0.05,-0.2,-0.03,0.06,-0.71,-0.2,-0.02,-0.09,-0.14,-0.04,-0.07,-0.12,0.04,-0.09,-0.1,0.02,0,0.1,-0.24,0.18,0.2,-0.04,0.03,0.04,0.02,-0.03,0.12,-0.03,0.27,0.12,0.1,0.03,-0.24,0.2,0.07,0.02,-0.6,0.04,0.07,0,0.12,0.02,0.04,0.24,0.23,0.14,-0.24,0.02,0,-0.07,-0.16,-0.25,0.07,-0.05,0.08,0.11,0.14,0.14,0.25,0.13,0.19,0.16,0.01,0.08,-0.73,-0.08,0.58,-0.23,-0.2,0.62,0.05,0,-0.07,-0.36,-0.19,-0.28,-0.52,-0.23,0,0.3,-0.32,-0.26,0,-0.52,-0.27,-0.05,-0.03,-0.02,-0.33,-0.15,0.07,-0.04,0,-0.21,-0.1,-0.09,0,-0.11,0.26,-0.05,-0.03,-0.02,-0.19,-0.02,0.05,0.12,-0.16,0.16,-0.09,-0.08,-0.12,-0.11,0.08,-0.05,1
20000663,2001-02-02,ATL,MIA,-0.14,-0.08,-0.29,0.04,0.07,-0.02,0.03,0,-0.08,0.22,-0.16,-0.21,0.2,-0.1,0.1,0.09,-0.24,-0.2,-0.26,0.05,-0.01,-0.05,-0.03,-0.35,-0.08,0,-0.29,-0.08,0.16,0.2,-0.19,-0.16,-0.02,0.03,0.1,0.08,-0.01,-0.26,-0.04,0.02,-0.19,-0.12,-0.04,0.1,0,-0.07,0.13,0.02,-0.03,0.32,0.07,0.14,-0.04,-0.11,0.34,-0.19,0.07,-0.01,-0.48,0.03,0.15,0.18,-0.48,0.1,0.02,0,-0.12,-0.03,0.24,0.19,0,-0.08,-0.76,-0.01,0.02,-0.12,0.58,0.04,-0.09,0.03,0.08,0.08,0.17,0.04,0.22,0.02,0.05,-0.15,-0.2,0.01,0,-0.08,0.24,-0.22,-0.24,0.65,-0.08,-0.05,0.07,0.01,-0.19,-0.14,-0.09,-0.06,0,-0.12,-0.08,0,-0.04,0,-0.07,-0.08,-0.03,-0.1,-0.14,0.03,-0.1,-0.14,0,0.11,-0.14,-0.02,0.16,-0.54,-0.13,0.1,-0.1,-0.1,-0.33,0.17,0.14,0.14,0.47,0.5,-0.03,0.06,0.04,-0.08,0.15,0.07,0
20000252,2000-12-05,ATL,MIA,-0.14,-0.08,-0.29,0.04,0.07,-0.02,0.03,0,-0.08,0.22,-0.16,-0.21,0.2,-0.1,0.1,0.09,-0.24,-0.2,-0.26,0.05,-0.01,-0.05,-0.03,-0.35,-0.08,0,-0.29,-0.08,0.16,0.2,-0.19,-0.16,-0.02,0.03,0.1,0.08,-0.01,-0.26,-0.04,0.02,-0.19,-0.12,-0.04,0.1,0,-0.07,0.13,0.02,-0.03,0.32,0.07,0.14,-0.04,-0.11,0.34,-0.19,0.07,-0.01,-0.48,0.03,0.15,0.18,-0.48,0.1,0.02,0,-0.12,-0.03,0.24,0.19,0,-0.08,-0.76,-0.01,0.02,-0.12,0.58,0.04,-0.09,0.03,0.08,0.08,0.17,0.04,0.22,0.02,0.05,-0.15,-0.2,0.01,0,-0.08,0.24,-0.22,-0.24,0.65,-0.08,-0.05,0.07,0.01,-0.19,-0.14,-0.09,-0.06,0,-0.12,-0.08,0,-0.04,0,-0.07,-0.08,-0.03,-0.1,-0.14,0.03,-0.1,-0.14,0,0.11,-0.14,-0.02,0.16,-0.54,-0.13,0.1,-0.1,-0.1,-0.33,0.17,0.14,0.14,0.47,0.5,-0.03,0.06,0.04,-0.08,0.15,0.07,0
